"コード","銘柄名","市場","現在値","前日比(%)"
"1716","第一カッター興業","東S","1400","+18.0(+1.30%)"
"1717","明豊ファシリティワークス","東S","946","+2.0(+0.21%)"
"1718","美樹工業","東S","6800","-120.0(-1.73%)"
"1719","安藤・間","東P","1828.0","-3.0(-0.16%)"
"1720","東急建設","東P","1159","-14.0(-1.19%)"
"1721","コムシスＨＬＤＧ","東P","5257.0","-13.0(-0.25%)"
"1723","日本電技","東S","2101","-239.0(-10.21%)"
"1724","シンクレイヤ","東S","683","+3.0(+0.44%)"
"1736","オーテック","東S","2432","-1.0(-0.04%)"
"173A","ハンモック","東G","1521","+2.0(+0.13%)"
"1758","太洋基礎工業","東S","2425","+25.0(+1.04%)"
"175A","Ｗｉｌｌ　Ｓｍａｒｔ","東G","602","-3.0(-0.50%)"
"1762","高松コンストラクショングループ","東P","3805","-40.0(-1.04%)"
"1764","工藤建設","東S","-","- (-%)"
"1766","東建コーポレーション","東P","13670","+260.0(+1.94%)"
"1768","ソネック","東S","1067","-9.0(-0.84%)"
"1770","藤田エンジニアリング","東S","2050","-133.0(-6.09%)"
"1773","ワイ・ティー・エル","東P","77","+0.0(+0.00%)"
"177A","コージンバイオ","東G","882","-8.0(-0.90%)"
"1780","ヤマウラ","東P","1544","+0.0(+0.00%)"
"1783","ｆａｎｔａｓｉｓｔａ","東S","48","-2.0(-4.00%)"
"1786","オリエンタル白石","東P","374","+5.0(+1.36%)"
"1787","ナカボーテック","東S","-","- (-%)"
"1788","三東工業社","東S","4200","+0.0(+0.00%)"
"1793","大本組","東S","2025","-27.0(-1.32%)"
"1795","マサル","東S","5500","+10.0(+0.18%)"
"1798","守谷商会","東S","1049","-11.0(-1.04%)"
"1799","第一建設工業","東S","3435","+25.0(+0.73%)"
"1801","大成建設","東P","13035.0","-415.0(-3.09%)"
"1802","大林組","東P","3263.0","-10.0(-0.31%)"
"1803","清水建設","東P","2391.5","-85.0(-3.43%)"
"1807","佐藤渡辺","東S","1866","+5.0(+0.27%)"
"1808","長谷工コーポレーション","東P","2902.5","+59.5(+2.09%)"
"1810","松井建設","東S","1464","+13.0(+0.90%)"
"1811","錢高組","東S","7960","-210.0(-2.57%)"
"1812","鹿島建設","東P","5397.0","-88.0(-1.60%)"
"1813","不動テトラ","東P","2620","-58.0(-2.17%)"
"1814","大末建設","東P","3490","-115.0(-3.19%)"
"1815","鉄建建設","東P","4400","-55.0(-1.23%)"
"1820","西松建設","東P","5307.0","-78.0(-1.45%)"
"1822","大豊建設","東S","788","-1.0(-0.13%)"
"1826","佐田建設","東S","1077","+1.0(+0.09%)"
"1827","ナカノフドー建設","東S","1362","+37.0(+2.79%)"
"1828","田辺工業","東S","2300","+4.0(+0.17%)"
"1833","奥村組","東P","5810","-40.0(-0.68%)"
"1835","東鉄工業","東P","4170","-40.0(-0.95%)"
"1840","土屋ＨＬＤＧ","東S","243","-1.0(-0.41%)"
"1844","大盛工業","東S","502","+3.0(+0.60%)"
"1847","イチケン","東S","2665","-39.0(-1.44%)"
"1848","富士ピー・エス","東S","705","+68.0(+10.68%)"
"184A","学びエイド","東G","316","-36.0(-10.23%)"
"1850","南海辰村建設","東S","417","-10.0(-2.34%)"
"1852","淺沼組","東P","873","+1.0(+0.11%)"
"1853","森組","東S","331","-4.0(-1.19%)"
"1860","戸田建設","東P","1504.0","-16.5(-1.09%)"
"1861","熊谷組","東P","1426","-22.0(-1.52%)"
"1866","北野建設","東S","1117","+5.0(+0.45%)"
"1867","植木組","東S","2737","-44.0(-1.58%)"
"186A","アストロスケールＨＬＤＧ","東G","906","-98.0(-9.76%)"
"1870","矢作建設工業","東P","1946","+10.0(+0.52%)"
"1871","ピーエス・コンストラクション","東P","2224","+11.0(+0.50%)"
"1873","日本ハウスＨＬＤＧ","東P","314","+3.0(+0.96%)"
"1878","大東建託","東P","3601.0","+201.0(+5.91%)"
"1879","新日本建設","東P","2108","-4.0(-0.19%)"
"1882","東亜道路工業","東P","1638","+4.0(+0.24%)"
"1885","東亜建設工業","東P","1990","-59.0(-2.88%)"
"1887","日本国土開発","東P","517","+4.0(+0.78%)"
"1888","若築建設","東P","3730","+230.0(+6.57%)"
"1893","五洋建設","東P","1443.5","-81.0(-5.31%)"
"1897","金下建設","東S","-","- (-%)"
"1898","世紀東急工業","東P","1508","+19.0(+1.28%)"
"1899","福田組","東P","3860","-25.0(-0.64%)"
"189A","Ｄ＆Ｍカンパニー","東G","1000","-8.0(-0.79%)"
"1904","大成温調","東S","5070","-20.0(-0.39%)"
"1905","テノックス","東S","1489","+6.0(+0.40%)"
"1909","日本ドライケミカル","東S","3695","+0.0(+0.00%)"
"190A","Ｃｈｏｒｄｉａ　Ｔｈｅｒａｐｅ","東G","73","-2.0(-2.67%)"
"1911","住友林業","東P","1406.5","+32.0(+2.33%)"
"1914","日本基礎技術","東S","732","+12.0(+1.67%)"
"1921","巴コーポレーション","東S","1724","+5.0(+0.29%)"
"1925","大和ハウス工業","東P","4909.0","+144.0(+3.02%)"
"1926","ライト工業","東P","3825","-40.0(-1.03%)"
"1928","積水ハウス","東P","3750.0","+93.0(+2.54%)"
"1929","日特建設","東P","1172","+33.0(+2.90%)"
"192A","インテグループ","東G","1205","+1.0(+0.08%)"
"1930","北陸電気工事","東P","1466","-9.0(-0.61%)"
"1934","ユアテック","東P","2397","-45.0(-1.84%)"
"1938","日本リーテック","東P","2399","-49.0(-2.00%)"
"1939","四電工","東P","1983","-14.0(-0.70%)"
"1941","中電工","東P","4975","-85.0(-1.68%)"
"1942","関電工","東P","5596.0","-309.0(-5.23%)"
"1944","きんでん","東P","7202.0","-494.0(-6.42%)"
"1945","東京エネシス","東P","1921","-34.0(-1.74%)"
"1946","トーエネック","東P","1993","-76.0(-3.67%)"
"1948","弘電社","東S","11400","+0.0(+0.00%)"
"194A","ＷＯＬＶＥＳ　ＨＡＮＤ","東G","1262","-39.0(-3.00%)"
"1950","日本電設工業","東P","3935","-80.0(-1.99%)"
"1951","エクシオグループ","東P","2645.0","-25.0(-0.94%)"
"1952","新日本空調","東P","3130","-210.0(-6.29%)"
"1959","クラフティア","東P","8912.0","-33.0(-0.37%)"
"195A","ＭＵＳＣＡＴ　ＧＲＯＵＰ","東G","729","-57.0(-7.25%)"
"1960","サンテック","東S","1433","-15.0(-1.04%)"
"1961","三機工業","東P","2203","-135.0(-5.77%)"
"1963","日揮ＨＬＤＧ","東P","2225.5","-68.5(-2.99%)"
"1964","中外炉工業","東P","3815","-5.0(-0.13%)"
"1965","テクノ菱和","東S","5440","-680.0(-11.11%)"
"1966","高田工業所","東S","1696","-14.0(-0.82%)"
"1967","ヤマト","東S","1976","-36.0(-1.79%)"
"1968","太平電業","東P","2393","-47.0(-1.93%)"
"1969","高砂熱学工業","東P","4148.0","-242.0(-5.51%)"
"196A","ＭＦＳ","東G","274","+0.0(+0.00%)"
"1972","三晃金属工業","東S","1298","+24.0(+1.88%)"
"1975","朝日工業社","東P","3680","-260.0(-6.60%)"
"1976","明星工業","東P","1983","+7.0(+0.35%)"
"1979","大氣社","東P","4220","-155.0(-3.54%)"
"197A","タウンズ","東S","482","+9.0(+1.90%)"
"1980","ダイダン","東P","2368","-198.0(-7.72%)"
"1981","協和日成","東S","1354","+11.0(+0.82%)"
"1982","日比谷総合設備","東P","2778","-72.0(-2.53%)"
"198A","ＰｏｓｔＰｒｉｍｅ","東G","152","-5.0(-3.18%)"
"1992","神田通信機","東S","3150","+70.0(+2.27%)"
"1994","高橋カーテンウォール工業","東S","547","+2.0(+0.37%)"
"1997","暁飯島工業","東S","3685","-65.0(-1.73%)"
"2001","ニップン","東P","2956","+50.0(+1.72%)"
"2002","日清製粉グループ本社","東P","2173.5","+67.0(+3.18%)"
"2003","日東富士製粉","東S","1900","+49.0(+2.65%)"
"2004","昭和産業","東P","3635","+45.0(+1.25%)"
"2009","鳥越製粉","東S","1091","+4.0(+0.37%)"
"2053","中部飼料","東P","2000","+31.0(+1.57%)"
"2055","日和産業","東S","328","-4.0(-1.20%)"
"205A","ロゴスＨＬＤＧ","東G","1898","-3.0(-0.16%)"
"2060","フィード・ワン","東P","1331","+37.0(+2.86%)"
"206A","ＰＲＩＳＭ　ＢｉｏＬａｂ","東G","144","-3.0(-2.04%)"
"208A","構造計画研究所ＨＬＤＧ","東S","2947","+37.0(+1.27%)"
"2108","日本甜菜製糖","東P","5250","+130.0(+2.54%)"
"2109","ＤＭ三井製糖","東P","3585","+120.0(+3.46%)"
"2112","塩水港精糖","東S","451","-1.0(-0.22%)"
"2114","フジ日本","東S","641","-1.0(-0.16%)"
"2117","ウェルネオシュガー","東P","2867","+76.0(+2.72%)"
"211A","カドス","東S","3870","+15.0(+0.39%)"
"2120","ＬＩＦＵＬＬ","東P","202","+6.0(+3.06%)"
"2121","ＭＩＸＩ","東P","2994","+65.0(+2.22%)"
"2122","インタースペース","東S","1399","+2.0(+0.14%)"
"2124","ジェイエイシーリクルートメント","東P","988","+36.0(+3.78%)"
"2127","日本Ｍ＆ＡセンターＨＬＤＧ","東P","696.5","+16.6(+2.44%)"
"212A","フィットイージー","東P","2728","-12.0(-0.44%)"
"2130","メンバーズ","東P","1107","+24.0(+2.22%)"
"2134","北浜キャピタルパートナーズ","東S","24","-1.0(-4.00%)"
"2136","ヒップ","東S","1430","+0.0(+0.00%)"
"2138","クルーズ","東S","454","+0.0(+0.00%)"
"2139","中広","東S","530","-3.0(-0.56%)"
"2146","ＵＴグループ","東P","187","+3.0(+1.63%)"
"2148","アイティメディア","東P","1199","+18.0(+1.52%)"
"2152","幼児活動研究会","東S","1571","-49.0(-3.02%)"
"2153","Ｅ・Ｊ　ＨＬＤＧ","東P","1779","+17.0(+0.96%)"
"2154","オープンアップグループ","東P","2080","+28.0(+1.36%)"
"2156","セーラー広告","東S","263","-2.0(-0.75%)"
"2157","コシダカＨＬＤＧ","東P","1096","+29.0(+2.72%)"
"2158","ＦＲＯＮＴＥＯ","東G","615","+1.0(+0.16%)"
"215A","タイミー","東G","1495","+81.0(+5.73%)"
"2160","ジーエヌアイグループ","東G","2300","-156.0(-6.35%)"
"2162","ｎｍｓ　ＨＬＤＧ","東S","537","+1.0(+0.19%)"
"2163","アルトナー","東P","2016","+3.0(+0.15%)"
"2164","地域新聞社","東S","160","+1.0(+0.63%)"
"2168","パソナグループ","東P","1611","+31.0(+1.96%)"
"2169","ＣＤＳ","東S","1710","-2.0(-0.12%)"
"2170","リンクアンドモチベーション","東P","644","+32.0(+5.23%)"
"2173","博展","東G","699","+10.0(+1.45%)"
"2175","エス・エム・エス","東P","2372","+20.0(+0.85%)"
"2179","成学社","東S","811","+0.0(+0.00%)"
"2180","サニーサイドアップグループ","東S","1309","+2.0(+0.15%)"
"2181","パーソルＨＬＤＧ","東P","276.8","+7.3(+2.71%)"
"2183","リニカル","東S","204","-3.0(-1.45%)"
"2185","シイエム・シイ","東S","1884","+2.0(+0.11%)"
"2186","ソーバル","東S","918","+3.0(+0.33%)"
"218A","Ｌｉｂｅｒａｗａｒｅ","東G","1004","+22.0(+2.24%)"
"2193","クックパッド","東S","119","+3.0(+2.59%)"
"2195","アミタＨＬＤＧ","東G","325","+1.0(+0.31%)"
"2198","アイ・ケイ・ケイＨＬＤＧ","東P","808","+12.0(+1.51%)"
"219A","Ｈｅａｒｔｓｅｅｄ","東G","1640","-87.0(-5.04%)"
"2201","森永製菓","東P","2800.0","+73.5(+2.70%)"
"2204","中村屋","東S","3350","+65.0(+1.98%)"
"2206","江崎グリコ","東P","5299.0","+167.0(+3.25%)"
"2207","ｍｅｉｔｏ","東P","3260","+115.0(+3.66%)"
"2208","ブルボン","東S","3210","+25.0(+0.78%)"
"2209","井村屋グループ","東P","2465","+38.0(+1.57%)"
"220A","Ｆａｂｅｒ　Ｃｏｍｐａｎｙ","東S","926","-1.0(-0.11%)"
"2211","不二家","東P","2515","+31.0(+1.25%)"
"2212","山崎製パン","東P","3676.0","+148.0(+4.20%)"
"2215","第一屋製パン","東S","600","+0.0(+0.00%)"
"2216","カンロ","東S","1272","+49.0(+4.01%)"
"2217","モロゾフ","東P","1621","+16.0(+1.00%)"
"2220","亀田製菓","東P","1299","+49.0(+3.92%)"
"2221","岩塚製菓","東S","3105","+35.0(+1.14%)"
"2222","寿スピリッツ","東P","2559.5","+5.5(+0.22%)"
"2224","コモ","東S","3665","-5.0(-0.14%)"
"2226","湖池屋","東S","4780","+0.0(+0.00%)"
"2229","カルビー","東P","3195.0","+134.0(+4.38%)"
"2264","森永乳業","東P","1305.5","+35.5(+2.80%)"
"2266","六甲バター","東P","1121","+33.0(+3.03%)"
"2267","ヤクルト本社","東P","2911.5","+99.0(+3.52%)"
"2268","Ｂ―Ｒ　サーティワン　アイス","東S","4090","+20.0(+0.49%)"
"2269","明治ＨＬＤＧ","東P","3973.0","+139.0(+3.63%)"
"2270","雪印メグミルク","東P","4005","+130.0(+3.35%)"
"2281","プリマハム","東P","2555","+53.0(+2.12%)"
"2282","日本ハム","東P","6670.0","+195.0(+3.01%)"
"2286","林兼産業","東S","900","+0.0(+0.00%)"
"2288","丸大食品","東P","2408","+73.0(+3.13%)"
"228A","オプロ","東G","1603","-7.0(-0.43%)"
"2291","福留ハム","東S","520","-7.0(-1.33%)"
"2292","Ｓ　ＦＯＯＤＳ","東P","2884","+48.0(+1.69%)"
"2293","滝沢ハム","東S","2721","+1.0(+0.04%)"
"2294","柿安本店","東P","2679","+29.0(+1.09%)"
"2296","伊藤ハム米久ＨＬＤＧ","東P","5120","+110.0(+2.20%)"
"2300","きょくとう","東S","502","+2.0(+0.40%)"
"2301","学情","東P","1650","+6.0(+0.36%)"
"2303","ドーン","東S","1229","-3.0(-0.24%)"
"2304","ＣＳＳ　ＨＬＤＧ","東S","935","-5.0(-0.53%)"
"2305","スタジオアリス","東S","2025","+44.0(+2.22%)"
"2307","クロスキャット","東P","1008","+18.0(+1.82%)"
"2311","エプコ","東S","780","-4.0(-0.51%)"
"2315","ＣＡＩＣＡ　ＤＩＧＩＴＡＬ","東S","57","-1.0(-1.72%)"
"2317","システナ","東P","455","+14.0(+3.17%)"
"2321","ソフトフロントＨＬＤＧ","東G","119","-4.0(-3.25%)"
"2323","ｆｏｎｆｕｎ","東S","261","-6.0(-2.25%)"
"2325","ＮＪＳ","東P","4590","+155.0(+3.49%)"
"2326","デジタルアーツ","東P","4165","+65.0(+1.59%)"
"2327","日鉄ソリューションズ","東P","3985.0","+57.0(+1.45%)"
"2329","東北新社","東S","499","-1.0(-0.20%)"
"2330","フォーサイド","東S","73","+0.0(+0.00%)"
"2331","ＡＬＳＯＫ","東P","1228.5","+31.5(+2.63%)"
"2332","クエスト","東S","1616","-32.0(-1.94%)"
"2334","イオレ","東G","458","-22.0(-4.58%)"
"2335","キューブシステム","東P","1104","+15.0(+1.38%)"
"2337","いちご","東P","431","+1.0(+0.23%)"
"2338","クオンタムソリューションズ","東S","122","-8.0(-6.15%)"
"2340","極楽湯ＨＬＤＧ","東S","500","+0.0(+0.00%)"
"2341","アルバイトタイムス","東S","164","-3.0(-1.80%)"
"2342","トランスジェニックグループ","東S","206","-5.0(-2.37%)"
"2345","ＨＯＤＬ１","東S","89","-4.0(-4.30%)"
"2349","エヌアイデイ","東S","2521","-2.0(-0.08%)"
"2351","ＡＳＪ","東S","316","-5.0(-1.56%)"
"2353","日本駐車場開発","東P","268","+6.0(+2.29%)"
"2354","ＹＥ　ＤＩＧＩＴＡＬ","東S","1320","+53.0(+4.18%)"
"2359","コア","東P","2044","+32.0(+1.59%)"
"2370","メディネット","東G","26","+2.0(+8.33%)"
"2371","カカクコム","東P","3690.0","+40.0(+1.10%)"
"2373","ケア２１","東S","404","+1.0(+0.25%)"
"2375","ギグワークス","東S","206","+5.0(+2.49%)"
"2376","サイネックス","東S","766","+0.0(+0.00%)"
"2378","ルネサンス","東P","1085","+24.0(+2.26%)"
"2379","ディップ","東P","1905","+48.0(+2.58%)"
"2384","ＳＢＳ　ＨＬＤＧ","東P","4570","+70.0(+1.56%)"
"2385","総医研ＨＬＤＧ","東G","216","+0.0(+0.00%)"
"2388","ウェッジＨＬＤＧ","東G","36","-2.0(-5.26%)"
"2391","プラネット","東S","1210","+0.0(+0.00%)"
"2393","日本ケアサプライ","東S","3920","-15.0(-0.38%)"
"2395","新日本科学","東P","1333","+17.0(+1.29%)"
"2404","鉄人化ＨＬＤＧ","東S","595","+1.0(+0.17%)"
"2408","ＫＧ情報","東S","841","-13.0(-1.52%)"
"2410","キャリアデザインセンター","東P","2914","+16.0(+0.55%)"
"2411","ゲンダイエージェンシー","東S","460","+0.0(+0.00%)"
"2413","エムスリー","東P","1984.0","+63.5(+3.31%)"
"2415","ヒューマンＨＬＤＧ","東S","1588","+15.0(+0.95%)"
"2418","ツカダ・グローバルＨＬＤＧ","東S","600","+0.0(+0.00%)"
"241A","ＲＯＸＸ","東G","396","-3.0(-0.75%)"
"2424","ブラス","東S","634","+3.0(+0.48%)"
"2425","ケアサービス","東S","688","+23.0(+3.46%)"
"2428","ウェルネット","東S","655","+7.0(+1.08%)"
"2429","ワールドＨＬＤＧ","東P","2735","+6.0(+0.22%)"
"2432","ディー・エヌ・エー","東P","2544.5","+75.5(+3.06%)"
"2433","博報堂ＤＹ　ＨＬＤＧ","東P","1392.5","+77.5(+5.89%)"
"2435","シダー","東S","208","+0.0(+0.00%)"
"2436","共同ピーアール","東S","620","+10.0(+1.64%)"
"2437","Ｓｈｉｎｗａ　Ｗｉｓｅ　ＨＬＤ","東S","695","+15.0(+2.21%)"
"2438","アスカネット","東G","326","-1.0(-0.31%)"
"2440","ぐるなび","東S","123","-1.0(-0.81%)"
"2445","タカミヤ","東S","425","+10.0(+2.41%)"
"2449","プラップジャパン","東S","1079","+4.0(+0.37%)"
"244A","グロースエクスパートナーズ","東G","1183","+3.0(+0.25%)"
"2454","オールアバウト","東S","345","-1.0(-0.29%)"
"2459","アウンコンサルティング","東S","172","+3.0(+1.78%)"
"245A","ＩＮＧＳ","東G","2493","+8.0(+0.32%)"
"2461","ファンコミュニケーションズ","東P","412","+6.0(+1.48%)"
"2462","ライク","東P","1542","+26.0(+1.72%)"
"2464","Ａｏｂａ−ＢＢＴ","東S","330","+1.0(+0.30%)"
"2469","ヒビノ","東S","2696","-28.0(-1.03%)"
"246A","アスア","東G","1089","+5.0(+0.46%)"
"2471","エスプール","東P","278","+8.0(+2.96%)"
"2475","ＷＤＢ　ＨＬＤＧ","東P","1855","+25.0(+1.37%)"
"2477","手間いらず","東S","2416","+52.0(+2.20%)"
"2479","ジェイテック","東S","239","-1.0(-0.42%)"
"247A","Ａｉロボティクス","東G","808","+14.0(+1.76%)"
"2480","システム・ロケーション","東S","1708","-1.0(-0.06%)"
"2481","タウンニュース社","東S","631","-3.0(-0.47%)"
"2483","翻訳センター","東S","2319","+52.0(+2.29%)"
"2484","出前館","東S","133","+3.0(+2.31%)"
"2485","ティア","東S","476","-1.0(-0.21%)"
"2488","ＪＴＰ","東S","1386","+1.0(+0.07%)"
"2489","アドウェイズ","東S","316","+10.0(+3.27%)"
"248A","キッズスター","東G","845","+0.0(+0.00%)"
"2491","バリューコマース","東P","471","+6.0(+1.29%)"
"2492","インフォマート","東P","563","+14.0(+2.55%)"
"2493","イーサポートリンク","東S","942","+4.0(+0.43%)"
"2497","ユナイテッド","東G","527","+9.0(+1.74%)"
"2498","オリエンタルコンサルタンツＨＤ","東S","3135","-40.0(-1.26%)"
"2499","日本和装ＨＬＤＧ","東S","293","-3.0(-1.01%)"
"2501","サッポロビール","東P","2163.0","+55.0(+2.61%)"
"2502","アサヒグループＨＬＤＧ","東P","1776.5","+56.0(+3.25%)"
"2503","キリンＨＬＤＧ","東P","3133.0","+135.0(+4.50%)"
"250A","シマダヤ","東S","1705","+39.0(+2.34%)"
"2531","宝ＨＬＤＧ","東P","2155.0","+36.5(+1.72%)"
"2533","オエノンＨＬＤＧ","東P","521","+19.0(+3.78%)"
"253A","ＥＴＳグループ","東S","1091","-24.0(-2.15%)"
"254A","ＡＩ　フュージョンキャピタルグ","東S","1250","-19.0(-1.50%)"
"255A","ジーエルテクノＨＬＤＧ","東S","5020","-330.0(-6.17%)"
"256A","飛島ＨＬＤＧ","東P","2073","+6.0(+0.29%)"
"2573","北海道コカ・コーラボトリング","東S","4015","+20.0(+0.50%)"
"2579","コカ・コーラボトラーズＪＰＨＤ","東P","4591.0","+177.0(+4.01%)"
"2585","ライフドリンク　カンパニー","東P","1507","+19.0(+1.28%)"
"2586","フルッタフルッタ","東G","93","+2.0(+2.20%)"
"2587","サントリービバレッジ＆フード","東P","4950.0","+150.0(+3.13%)"
"2588","プレミアムウォーターＨＬＤＧ","東S","3875","+75.0(+1.97%)"
"2590","ダイドーグループＨＬＤＧ","東P","3090","+75.0(+2.49%)"
"2593","伊藤園","東P","3236.0","+139.0(+4.49%)"
"2594","キーコーヒー","東P","2016","+12.0(+0.60%)"
"2597","ユニカフェ","東S","1143","+0.0(+0.00%)"
"2602","日清オイリオグループ","東P","2007","+21.0(+1.06%)"
"2607","不二製油","東P","4174.0","+190.0(+4.77%)"
"2612","かどや製油","東S","1775","+5.0(+0.28%)"
"2613","Ｊ―オイルミルズ","東P","2143","+38.0(+1.81%)"
"261A","日水コン","東S","2013","-1.0(-0.05%)"
"262A","インターメスティック","東P","1892","+13.0(+0.69%)"
"264A","Ｓｃｈｏｏ","東G","274","+0.0(+0.00%)"
"2652","まんだらけ","東S","422","+17.0(+4.20%)"
"2653","イオン九州","東S","2847","+2.0(+0.07%)"
"2654","アスモ","東S","404","+2.0(+0.50%)"
"2656","ベクターＨＬＤＧ","東S","163","+9.0(+5.84%)"
"2659","サンエー","東P","3335","+70.0(+2.14%)"
"265A","Ｈｍｃｏｍｍ","東G","637","-22.0(-3.34%)"
"2664","カワチ薬品","東P","3475","+120.0(+3.58%)"
"2666","オートウェーブ","東S","193","+2.0(+1.05%)"
"2667","イメージワン","東S","113","-3.0(-2.59%)"
"2668","タビオ","東S","1260","+0.0(+0.00%)"
"2669","カネ美食品","東S","3985","-15.0(-0.38%)"
"2670","エービーシー・マート","東P","2848.0","+94.5(+3.43%)"
"2673","夢みつけ隊","東S","106","+5.0(+4.95%)"
"2674","ハードオフコーポレーション","東P","3085","+166.0(+5.69%)"
"2676","高千穂交易","東P","2092","+11.0(+0.53%)"
"2678","アスクル","東P","1278","+6.0(+0.47%)"
"2681","ゲオＨＬＤＧ","東P","2202","+92.0(+4.36%)"
"2683","魚喜","東S","1010","-3.0(-0.30%)"
"2685","アンドエスティＨＤ","東P","3500","+65.0(+1.89%)"
"2687","シー・ヴイ・エス・ベイエリア","東S","498","+2.0(+0.40%)"
"2689","オルバヘルスケアＨＬＤＧ","東S","1906","+1.0(+0.05%)"
"268A","リガク・ＨＬＤＧ","東P","1825","-120.0(-6.17%)"
"2693","ＹＫＴ","東S","301","-12.0(-3.83%)"
"2694","焼肉坂井ＨＬＤＧ","東S","72","+0.0(+0.00%)"
"2695","くら寿司","東P","1685","+30.0(+1.81%)"
"2698","キャンドゥ","東S","3655","+80.0(+2.24%)"
"269A","Ｓａｐｅｅｔ","東G","2478","-31.0(-1.24%)"
"2700","木徳神糧","東S","1750","+45.0(+2.64%)"
"2702","日本マクドナルドＨＬＤＧ","東S","8060","+150.0(+1.90%)"
"2705","大戸屋ＨＬＤＧ","東S","8800","+600.0(+7.32%)"
"2708","久世","東S","2002","+19.0(+0.96%)"
